"ALL","TODO"
"ANY","CUALQUIERA"
"Add","Añadir"
"Apply","Aplicar"
"Description: %s","Descripción: %s"
"Expire at: %s","Caduca el: %s"
"FALSE","FALSO"
"If %s of these conditions are %s:","Si %s de estas condiciones són %s:"
"Invalid discount amount.","El importe de descuento no es válido"
"MATCHING ALL","IGUAL TODO"
"MATCHING ANY","IGUAL ALGUNO"
"NOT MATCHING ALL","NO IGUAL TODO"
"NOT MATCHING ANY","NO IGUAL ALGUNO"
"Name: %s","Nombre: %s"
"Open Chooser","Abrir el selector"
"Perform following actions","Realizar las siguientes acciones"
"Please choose a condition to add...","Por favor, seleccione una condición para añadir&hellip;"
"Please choose an action to add...","Por favor, seleccione una acción para añadir&hellip;"
"Remove","Eliminar"
"Start at: %s","Empezar el: %s"
"TRUE","VERDADERO"
"by","para"
"contains","contiene"
"does not contain","no contiene"
"equals or greater than","es igual o superior a"
"equals or less than","igual o inferior a"
"greater than","superior a"
"is","es"
"is not","no es"
"is not one of","no es uno de"
"is one of","es uno de"
"less than","menos de"
"to","hasta"
